,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
2633,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
2634,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
2635,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
2636,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
2637,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
2638,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
2639,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
2640,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
2641,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
2642,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
2643,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
2644,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
2645,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
2646,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
2647,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
2648,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
2649,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
2650,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
2651,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
2652,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
2653,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
2654,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
2655,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
2656,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
2657,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
2658,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
2659,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
2660,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
2661,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
2662,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
2663,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
2664,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
2665,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
2666,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
2667,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
2668,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
2669,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
2670,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
2671,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
2672,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
2673,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
2674,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
2675,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
2676,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
2677,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
2678,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
2679,1.4594895,8.827658,11.041191,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.6749202e-07,8.821915e-08,9.370775e-06,2.7998817e-07,3.9395897e-07,
2680,1.9685493,4.1970015,5.1451163,,8980,91,,6.8342865e-07,0.00020635292,4.5211493e-08,1.23336195e-08,1.6899881e-07,,8.7940373e-07,0.0004239332,6.916717e-08,2.5196652e-08,4.2324518e-07,
2681,1.5275524,2.473512,2.1270564,,44785,19351,,5.148821e-07,8.666805e-06,1.3172676e-06,5.8142987e-08,1.15167595e-05,,6.2746744e-07,1.6001864e-05,1.6511506e-06,7.789325e-08,1.3267763e-05,
2682,2.0555906,3.3008602,2.5591,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763395e-07,1.8515568e-05,,8.7940373e-07,5.8982515e-12,1.3869663e-07,1.1534264e-06,1.6958451e-05,
2683,1.6858054,2.0026767,3.145603,,5835,30933,,9.864217e-09,9.652672e-10,2.4124237e-08,2.1689873e-07,2.132943e-05,,1.08475895e-08,1.9873814e-09,3.6982e-08,2.1097655e-07,3.258738e-05,
2684,2.6748834,4.43646,18.710785,,44386,25998,,3.874492e-07,5.80124e-09,1.9377795e-08,3.8522865e-09,2.8726134e-11,,4.6513307e-07,1.1596787e-08,4.3176435e-08,8.549452e-09,2.688762e-10,
2685,1.1409392,9.413799,4.564756,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,9.927544e-06,7.8071927e-10,5.160167e-06,1.7704204e-08,3.7469377e-07,
2686,1.3248502,2.9235353,2.7483547,,47903,27072,,9.864217e-09,4.879128e-07,5.772929e-07,1.4590094e-09,1.10074865e-07,,1.08475895e-08,6.541021e-07,6.9549236e-07,3.1817287e-09,2.2566158e-07,
2687,4.7023296,6.7939487,12.792437,,38093,50155,,3.687785e-07,3.054984e-06,4.2403983e-09,1.1824111e-09,3.989001e-11,,5.339902e-07,5.752654e-06,1.3770574e-08,4.266104e-09,2.7099303e-10,
2688,1.849448,5.520518,12.775738,,23287,8115,,2.7900478e-07,1.4238076e-06,2.4107621e-06,8.225869e-09,4.1915433e-11,,4.6024581e-07,2.887257e-06,2.702827e-06,2.2393781e-08,2.6407407e-10,
2689,0.9398556,2.2216074,2.9348946,,19529,650,,1.0932107e-05,9.150483e-06,1.992367e-06,8.382823e-07,6.5606134e-09,,8.1181915e-06,1.490024e-05,2.5215934e-06,1.1436902e-06,1.1824634e-08,
2690,0.84570235,1.9684957,3.6273513,,19351,44785,,6.139371e-07,3.3551906e-08,1.7156249e-06,1.7396867e-05,4.627912e-07,,5.595645e-07,7.544391e-08,1.591892e-06,1.52299535e-05,7.465652e-07,
2691,2.8907087,0.8558517,2.2791555,,47249,224,,3.832012e-07,8.132384e-09,1.9003467e-06,1.1339181e-05,0.00013969524,,7.866963e-07,1.3809064e-08,2.67582e-06,5.715231e-06,0.0001875034,
2692,5.1404247,2.9003212,2.4981298,,40516,35147,,1.4461878e-07,1.9895172e-06,1.308441e-07,3.949772e-07,1.2326028e-07,,2.913903e-07,2.6801667e-06,3.338126e-07,8.5036237e-07,2.2857253e-07,
2693,1.2313305,8.323102,4.367251,,42859,48162,,2.1338574e-06,6.461716e-09,1.3578996e-05,2.5570918e-10,4.665606e-08,,2.4384794e-06,1.7139545e-08,1.4631491e-05,8.0238005e-10,7.681832e-08,
2694,3.219242,2.3584912,6.0880523,,982,19529,,8.706194e-08,4.929484e-07,2.0436134e-07,3.5449086e-06,9.063574e-10,,2.2164183e-07,1.1042639e-06,2.5842172e-07,3.7322259e-06,2.4632383e-09,
